Date : 2020-05-07 16:01:01
Directory : c:\Users\Steak\Documents\GitHub\Upsilon\Libraries
Total : 5106 files,  1016028 codes, 259358 comments, 186782 blanks, all 1462168 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_bool1.hpp                                                                                                          | C++           |          9 |         15 |          7 |         31 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_bool1_precision.hpp                                                                                                | C++           |         11 |         15 |          9 |         35 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_bool2.hpp                                                                                                          | C++           |          6 |          8 |          5 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_bool2_precision.hpp                                                                                                | C++           |          8 |         17 |          7 |         32 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_bool3.hpp                                                                                                          | C++           |          6 |          8 |          5 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_bool3_precision.hpp                                                                                                | C++           |          8 |         17 |          7 |         32 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_bool4.hpp                                                                                                          | C++           |          6 |          8 |          5 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_bool4_precision.hpp                                                                                                | C++           |          8 |         17 |          7 |         32 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_common.hpp                                                                                                         | C++           |         46 |        134 |         25 |        205 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_common.inl                                                                                                         | C++           |        111 |          0 |         19 |        130 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_double1.hpp                                                                                                        | C++           |          9 |         16 |          7 |         32 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_double1_precision.hpp                                                                                              | C++           |         11 |         17 |          9 |         37 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_double2.hpp                                                                                                        | C++           |          6 |          8 |          5 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_double2_precision.hpp                                                                                              | C++           |          8 |         17 |          7 |         32 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_double3.hpp                                                                                                        | C++           |          6 |          8 |          5 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_double3_precision.hpp                                                                                              | C++           |          8 |         20 |          7 |         35 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_double4.hpp                                                                                                        | C++           |          6 |          8 |          5 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_double4_precision.hpp                                                                                              | C++           |          9 |         20 |          7 |         36 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_float1.hpp                                                                                                         | C++           |          9 |         16 |          7 |         32 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_float1_precision.hpp                                                                                               | C++           |         11 |         17 |          9 |         37 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_float2.hpp                                                                                                         | C++           |          6 |          8 |          5 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_float2_precision.hpp                                                                                               | C++           |          8 |         17 |          7 |         32 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_float3.hpp                                                                                                         | C++           |          6 |          8 |          5 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_float3_precision.hpp                                                                                               | C++           |          8 |         17 |          7 |         32 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_float4.hpp                                                                                                         | C++           |          6 |          8 |          5 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_float4_precision.hpp                                                                                               | C++           |          8 |         17 |          7 |         32 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_int1.hpp                                                                                                           | C++           |          9 |         16 |          8 |         33 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_int1_sized.hpp                                                                                                     | C++           |         13 |         27 |         10 |         50 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_int2.hpp                                                                                                           | C++           |          6 |          8 |          5 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_int2_sized.hpp                                                                                                     | C++           |         13 |         27 |         10 |         50 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_int3.hpp                                                                                                           | C++           |          6 |          8 |          5 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_int3_sized.hpp                                                                                                     | C++           |         13 |         27 |         10 |         50 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_int4.hpp                                                                                                           | C++           |          6 |          8 |          5 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_int4_sized.hpp                                                                                                     | C++           |         13 |         27 |         10 |         50 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_integer.hpp                                                                                                        | C++           |         34 |         99 |         17 |        150 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_integer.inl                                                                                                        | C++           |         65 |          0 |         21 |         86 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_packing.hpp                                                                                                        | C++           |          9 |         16 |          8 |         33 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_packing.inl                                                                                                        | C++           |          0 |          0 |          1 |          1 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_relational.hpp                                                                                                     | C++           |         25 |         68 |         15 |        108 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_relational.inl                                                                                                     | C++           |         62 |          3 |         11 |         76 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_uint1.hpp                                                                                                          | C++           |          9 |         16 |          8 |         33 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_uint1_sized.hpp                                                                                                    | C++           |         13 |         27 |         10 |         50 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_uint2.hpp                                                                                                          | C++           |          6 |          8 |          5 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_uint2_sized.hpp                                                                                                    | C++           |         13 |         27 |         10 |         50 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_uint3.hpp                                                                                                          | C++           |          6 |          8 |          5 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_uint3_sized.hpp                                                                                                    | C++           |         13 |         27 |         10 |         50 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_uint4.hpp                                                                                                          | C++           |          6 |          8 |          5 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_uint4_sized.hpp                                                                                                    | C++           |         13 |         27 |         10 |         50 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_ulp.hpp                                                                                                            | C++           |         25 |         71 |         14 |        110 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\ext\vector_ulp.inl                                                                                                            | C++           |         67 |          0 |          8 |         75 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\fwd.hpp                                                                                                                       | C++           |      1,013 |         12 |        209 |      1,234 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\geometric.hpp                                                                                                                 | C++           |         30 |         73 |         14 |        117 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\glm.hpp                                                                                                                       | C++           |         29 |        101 |          7 |        137 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\bitfield.hpp                                                                                                              | C++           |         57 |        170 |         40 |        267 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\bitfield.inl                                                                                                              | C++           |        486 |          1 |        140 |        627 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\color_space.hpp                                                                                                           | C++           |         22 |         24 |         11 |         57 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\color_space.inl                                                                                                           | C++           |         72 |          2 |         11 |         85 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\constants.hpp                                                                                                             | C++           |         63 |         69 |         34 |        166 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\constants.inl                                                                                                             | C++           |        138 |          1 |         29 |        168 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\epsilon.hpp                                                                                                               | C++           |         18 |         32 |         11 |         61 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\epsilon.inl                                                                                                               | C++           |         67 |          2 |         12 |         81 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\integer.hpp                                                                                                               | C++           |         20 |         36 |         10 |         66 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\integer.inl                                                                                                               | C++           |         56 |          3 |         10 |         69 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\matrix_access.hpp                                                                                                         | C++           |         27 |         23 |         11 |         61 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\matrix_access.inl                                                                                                         | C++           |         53 |          1 |          9 |         63 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\matrix_integer.hpp                                                                                                        | C++           |        112 |        207 |        115 |        434 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\matrix_inverse.hpp                                                                                                        | C++           |         17 |         25 |          9 |         51 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\matrix_inverse.inl                                                                                                        | C++           |         99 |          1 |         19 |        119 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\matrix_transform.hpp                                                                                                      | C++           |         12 |         20 |          5 |         37 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\matrix_transform.inl                                                                                                      | C++           |          3 |          0 |          1 |          4 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\noise.hpp                                                                                                                 | C++           |         27 |         25 |         10 |         62 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\noise.inl                                                                                                                 | C++           |        582 |        133 |         93 |        808 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\packing.hpp                                                                                                               | C++           |         88 |        561 |         80 |        729 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\packing.inl                                                                                                               | C++           |        752 |         61 |        126 |        939 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\quaternion.hpp                                                                                                            | C++           |         60 |         93 |         21 |        174 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\quaternion.inl                                                                                                            | C++           |        171 |          1 |         31 |        203 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\quaternion_simd.inl                                                                                                       | C++           |          0 |          0 |          1 |          1 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\random.hpp                                                                                                                | C++           |         25 |         44 |         14 |         83 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\random.inl                                                                                                                | C++           |        262 |          0 |         42 |        304 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\reciprocal.hpp                                                                                                            | C++           |         33 |         84 |         19 |        136 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\reciprocal.inl                                                                                                            | C++           |        151 |         13 |         28 |        192 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\round.hpp                                                                                                                 | C++           |         38 |        104 |         19 |        161 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\round.inl                                                                                                                 | C++           |        118 |         13 |         25 |        156 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\type_aligned.hpp                                                                                                          | C++           |        547 |        384 |        385 |      1,316 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\type_precision.hpp                                                                                                        | C++           |        514 |      1,018 |        563 |      2,095 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\type_precision.inl                                                                                                        | C++           |          3 |          1 |          3 |          7 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\type_ptr.hpp                                                                                                              | C++           |         89 |        102 |         40 |        231 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\type_ptr.inl                                                                                                              | C++           |        320 |          4 |         63 |        387 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\ulp.hpp                                                                                                                   | C++           |         38 |         95 |         20 |        153 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\ulp.inl                                                                                                                   | C++           |        150 |          1 |         23 |        174 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtc\vec1.hpp                                                                                                                  | C++           |         14 |         12 |          5 |         31 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\associated_min_max.hpp                                                                                                    | C++           |        119 |         60 |         29 |        208 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\associated_min_max.inl                                                                                                    | C++           |        310 |         19 |         26 |        355 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\bit.hpp                                                                                                                   | C++           |         31 |         50 |         18 |         99 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\bit.inl                                                                                                                   | C++           |         64 |         11 |         18 |         93 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\closest_point.hpp                                                                                                         | C++           |         23 |         18 |          9 |         50 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\closest_point.inl                                                                                                         | C++           |         35 |          3 |          8 |         46 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\color_encoding.hpp                                                                                                        | C++           |         24 |         20 |         11 |         55 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\color_encoding.inl                                                                                                        | C++           |         35 |          1 |         10 |         46 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\color_space.hpp                                                                                                           | C++           |         33 |         27 |         13 |         73 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\color_space.inl                                                                                                           | C++           |        117 |          7 |         18 |        142 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\color_space_YCoCg.hpp                                                                                                     | C++           |         25 |         25 |         11 |         61 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\color_space_YCoCg.inl                                                                                                     | C++           |         98 |          1 |          9 |        108 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\common.hpp                                                                                                                | C++           |         24 |         42 |         11 |         77 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\common.inl                                                                                                                | C++           |        105 |          2 |         19 |        126 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\compatibility.hpp                                                                                                         | C++           |         98 |         15 |         21 |        134 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\compatibility.inl                                                                                                         | C++           |         55 |          1 |          7 |         63 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\component_wise.hpp                                                                                                        | C++           |         26 |         31 |         13 |         70 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\component_wise.inl                                                                                                        | C++           |        109 |          1 |         18 |        128 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\dual_quaternion.hpp                                                                                                       | C++           |        121 |         89 |         65 |        275 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\dual_quaternion.inl                                                                                                       | C++           |        286 |         12 |         55 |        353 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\easing.hpp                                                                                                                | C++           |         82 |         97 |         41 |        220 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\easing.inl                                                                                                                | C++           |        334 |         32 |         71 |        437 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\euler_angles.hpp                                                                                                          | C++           |        188 |        100 |         48 |        336 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\euler_angles.inl                                                                                                          | C++           |        833 |          1 |         66 |        900 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\extend.hpp                                                                                                                | C++           |         18 |         17 |          8 |         43 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\extend.inl                                                                                                                | C++           |         43 |          1 |          5 |         49 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\extended_min_max.hpp                                                                                                      | C++           |         80 |         39 |         19 |        138 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\extended_min_max.inl                                                                                                      | C++           |        125 |          1 |         13 |        139 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\exterior_product.hpp                                                                                                      | C++           |         16 |         22 |          8 |         46 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\exterior_product.inl                                                                                                      | C++           |         20 |          1 |          6 |         27 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\fast_exponential.hpp                                                                                                      | C++           |         37 |         40 |         19 |         96 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\fast_exponential.inl                                                                                                      | C++           |         73 |         50 |         14 |        137 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\fast_square_root.hpp                                                                                                      | C++           |         33 |         44 |         16 |         93 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\fast_square_root.inl                                                                                                      | C++           |         56 |          6 |         14 |         76 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\fast_trigonometry.hpp                                                                                                     | C++           |         29 |         36 |         15 |         80 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\fast_trigonometry.inl                                                                                                     | C++           |        113 |          8 |         22 |        143 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\float_notmalize.inl                                                                                                       | C++           |          9 |          1 |          4 |         14 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\functions.hpp                                                                                                             | C++           |         25 |         22 |         10 |         57 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\functions.inl                                                                                                             | C++           |         25 |          1 |          5 |         31 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\gradient_paint.hpp                                                                                                        | C++           |         25 |         20 |          9 |         54 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\gradient_paint.inl                                                                                                        | C++           |         32 |          1 |          4 |         37 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\handed_coordinate_space.hpp                                                                                               | C++           |         23 |         19 |          9 |         51 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\handed_coordinate_space.inl                                                                                               | C++           |         23 |          1 |          3 |         27 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\hash.hpp                                                                                                                  | C++           |        106 |         11 |         26 |        143 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\hash.inl                                                                                                                  | C++           |        158 |         10 |         17 |        185 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\integer.hpp                                                                                                               | C++           |         25 |         35 |         17 |         77 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\integer.inl                                                                                                               | C++           |        131 |         25 |         30 |        186 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\intersect.hpp                                                                                                             | C++           |         49 |         31 |         13 |         93 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\intersect.inl                                                                                                             | C++           |        156 |         13 |         32 |        201 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\io.hpp                                                                                                                    | C++           |        138 |         23 |         41 |        202 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\io.inl                                                                                                                    | C++           |        367 |          2 |         72 |        441 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\log_base.hpp                                                                                                              | C++           |         21 |         19 |          9 |         49 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\log_base.inl                                                                                                              | C++           |         13 |          1 |          3 |         17 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_cross_product.hpp                                                                                                  | C++           |         19 |         20 |          9 |         48 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_cross_product.inl                                                                                                  | C++           |         33 |          1 |          4 |         38 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_decompose.hpp                                                                                                      | C++           |         22 |         17 |          8 |         47 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_decompose.inl                                                                                                      | C++           |        113 |         42 |         32 |        187 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_factorisation.hpp                                                                                                  | C++           |         21 |         37 |         12 |         70 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_factorisation.inl                                                                                                  | C++           |         53 |         17 |         15 |         85 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_interpolation.hpp                                                                                                  | C++           |         25 |         25 |         11 |         61 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_interpolation.inl                                                                                                  | C++           |        121 |          1 |          8 |        130 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_major_storage.hpp                                                                                                  | C++           |         61 |         40 |         19 |        120 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_major_storage.inl                                                                                                  | C++           |        153 |          1 |         13 |        167 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_operation.hpp                                                                                                      | C++           |         46 |         39 |         19 |        104 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_operation.inl                                                                                                      | C++           |        156 |          1 |         20 |        177 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_query.hpp                                                                                                          | C++           |         31 |         32 |         15 |         78 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_query.inl                                                                                                          | C++           |        103 |          1 |         10 |        114 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_transform_2d.hpp                                                                                                   | C++           |         34 |         36 |         12 |         82 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\matrix_transform_2d.inl                                                                                                   | C++           |         56 |          2 |         11 |         69 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\mixed_product.hpp                                                                                                         | C++           |         18 |         16 |          8 |         42 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\mixed_product.inl                                                                                                         | C++           |         13 |          1 |          2 |         16 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\norm.hpp                                                                                                                  | C++           |         35 |         37 |         17 |         89 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\norm.inl                                                                                                                  | C++           |         79 |          1 |         16 |         96 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\normal.hpp                                                                                                                | C++           |         15 |         19 |          8 |         42 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\normal.inl                                                                                                                | C++           |         13 |          1 |          2 |         16 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\normalize_dot.hpp                                                                                                         | C++           |         17 |         24 |          9 |         50 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\normalize_dot.inl                                                                                                         | C++           |         13 |          1 |          3 |         17 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\number_precision.hpp                                                                                                      | C++           |         26 |         23 |         13 |         62 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glm\glm\glm\gtx\number_precision.inl                                                                                                      | C++           |          3 |          1 |          3 |          7 |
