Date : 2020-05-07 16:01:01
Directory : c:\Users\Steak\Documents\GitHub\Upsilon\Libraries
Total : 5106 files,  1016028 codes, 259358 comments, 186782 blanks, all 1462168 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| assimp\assimp\code\AssetLib\AMF                                                                                                                                                             |          7 |      1,662 |      1,031 |        482 |      3,175 |
| assimp\assimp\code\AssetLib\ASE                                                                                                                                                             |          4 |      2,489 |      1,040 |        547 |      4,076 |
| assimp\assimp\code\AssetLib\Assbin                                                                                                                                                          |          6 |      1,194 |        413 |        258 |      1,865 |
| assimp\assimp\code\AssetLib\Assjson                                                                                                                                                         |          5 |        974 |        120 |        238 |      1,332 |
| assimp\assimp\code\AssetLib\Assxml                                                                                                                                                          |          4 |        528 |        219 |        100 |        847 |
| assimp\assimp\code\AssetLib\B3D                                                                                                                                                             |          2 |        589 |        133 |        158 |        880 |
| assimp\assimp\code\AssetLib\BVH                                                                                                                                                             |          2 |        389 |        212 |        113 |        714 |
| assimp\assimp\code\AssetLib\Blender                                                                                                                                                         |         17 |      4,801 |      1,695 |      1,184 |      7,680 |
| assimp\assimp\code\AssetLib\C4D                                                                                                                                                             |          2 |        476 |        137 |        127 |        740 |
| assimp\assimp\code\AssetLib\COB                                                                                                                                                             |          3 |      1,052 |        308 |        266 |      1,626 |
| assimp\assimp\code\AssetLib\CSM                                                                                                                                                             |          2 |        205 |        132 |         66 |        403 |
| assimp\assimp\code\AssetLib\Collada                                                                                                                                                         |          8 |      5,980 |      1,588 |      1,217 |      8,785 |
| assimp\assimp\code\AssetLib\DXF                                                                                                                                                             |          3 |        774 |        296 |        222 |      1,292 |
| assimp\assimp\code\AssetLib\FBX                                                                                                                                                             |         33 |     10,527 |      3,342 |      2,485 |     16,354 |
| assimp\assimp\code\AssetLib\HMP                                                                                                                                                             |          4 |        456 |        344 |        165 |        965 |
| assimp\assimp\code\AssetLib\IFC                                                                                                                                                             |         15 |     20,234 |      5,012 |      2,446 |     27,692 |
| assimp\assimp\code\AssetLib\Irr                                                                                                                                                             |          6 |      1,869 |        752 |        425 |      3,046 |
| assimp\assimp\code\AssetLib\LWO                                                                                                                                                             |          7 |      2,977 |      1,121 |        686 |      4,784 |
| assimp\assimp\code\AssetLib\LWS                                                                                                                                                             |          2 |        696 |        264 |        194 |      1,154 |
| assimp\assimp\code\AssetLib\M3D                                                                                                                                                             |          8 |      6,740 |        791 |        439 |      7,970 |
| assimp\assimp\code\AssetLib\MD2                                                                                                                                                             |          4 |        554 |        288 |        128 |        970 |
| assimp\assimp\code\AssetLib\MD3                                                                                                                                                             |          3 |        944 |        503 |        299 |      1,746 |
| assimp\assimp\code\AssetLib\MD4                                                                                                                                                             |          1 |        102 |         85 |         32 |        219 |
| assimp\assimp\code\AssetLib\MD5                                                                                                                                                             |          4 |      1,013 |        568 |        289 |      1,870 |
| assimp\assimp\code\AssetLib\MDC                                                                                                                                                             |          4 |        700 |        286 |        125 |      1,111 |
| assimp\assimp\code\AssetLib\MDL                                                                                                                                                             |         15 |      3,876 |      2,122 |      1,144 |      7,142 |
| assimp\assimp\code\AssetLib\MDL\HalfLife                                                                                                                                                    |         10 |      1,465 |        934 |        503 |      2,902 |
| assimp\assimp\code\AssetLib\MMD                                                                                                                                                             |          7 |      2,275 |        379 |        267 |      2,921 |
| assimp\assimp\code\AssetLib\MS3D                                                                                                                                                            |          2 |        520 |        157 |        152 |        829 |
| assimp\assimp\code\AssetLib\NDO                                                                                                                                                             |          2 |        240 |        127 |         72 |        439 |
| assimp\assimp\code\AssetLib\NFF                                                                                                                                                             |          2 |        901 |        295 |        191 |      1,387 |
| assimp\assimp\code\AssetLib\OFF                                                                                                                                                             |          2 |        254 |        133 |         54 |        441 |
| assimp\assimp\code\AssetLib\Obj                                                                                                                                                             |         10 |      2,251 |        895 |        473 |      3,619 |
| assimp\assimp\code\AssetLib\Ogre                                                                                                                                                            |         10 |      3,427 |      1,028 |        823 |      5,278 |
| assimp\assimp\code\AssetLib\OpenGEX                                                                                                                                                         |          5 |      1,382 |        285 |        270 |      1,937 |
| assimp\assimp\code\AssetLib\Ply                                                                                                                                                             |          6 |      2,064 |        704 |        439 |      3,207 |
| assimp\assimp\code\AssetLib\Q3BSP                                                                                                                                                           |          5 |        914 |        304 |        191 |      1,409 |
| assimp\assimp\code\AssetLib\Q3D                                                                                                                                                             |          2 |        451 |        181 |        127 |        759 |
| assimp\assimp\code\AssetLib\Raw                                                                                                                                                             |          2 |        265 |        132 |         57 |        454 |
| assimp\assimp\code\AssetLib\SIB                                                                                                                                                             |          2 |        709 |        206 |        150 |      1,065 |
| assimp\assimp\code\AssetLib\SMD                                                                                                                                                             |          2 |        890 |        402 |        227 |      1,519 |
| assimp\assimp\code\AssetLib\STEPParser                                                                                                                                                      |          4 |        748 |        258 |        124 |      1,130 |
| assimp\assimp\code\AssetLib\STL                                                                                                                                                             |          4 |        586 |        292 |        146 |      1,024 |
| assimp\assimp\code\AssetLib\Step                                                                                                                                                            |          3 |        904 |        309 |        247 |      1,460 |
| assimp\assimp\code\AssetLib\StepFile                                                                                                                                                        |          6 |     14,298 |      2,740 |      1,450 |     18,488 |
| assimp\assimp\code\AssetLib\Terragen                                                                                                                                                        |          2 |        170 |        137 |         53 |        360 |
| assimp\assimp\code\AssetLib\Unreal                                                                                                                                                          |          2 |        347 |        179 |         95 |        621 |
| assimp\assimp\code\AssetLib\X                                                                                                                                                               |          7 |      2,218 |        772 |        463 |      3,453 |
| assimp\assimp\code\AssetLib\X3D                                                                                                                                                             |         19 |      8,741 |      2,880 |      1,457 |     13,078 |
| assimp\assimp\code\AssetLib\XGL                                                                                                                                                             |          2 |        819 |        169 |        181 |      1,169 |
| assimp\assimp\code\AssetLib\glTF                                                                                                                                                            |         10 |      3,948 |        846 |      1,063 |      5,857 |
| assimp\assimp\code\AssetLib\glTF2                                                                                                                                                           |          8 |      4,441 |        717 |      1,122 |      6,280 |
| assimp\assimp\code\CApi                                                                                                                                                                     |          3 |        179 |        160 |         55 |        394 |
| assimp\assimp\code\Common                                                                                                                                                                   |         42 |      7,444 |      3,644 |      1,832 |     12,920 |
| assimp\assimp\code\Material                                                                                                                                                                 |          2 |        451 |        167 |         88 |        706 |
| assimp\assimp\code\PostProcessing                                                                                                                                                           |         62 |      7,995 |      5,222 |      2,243 |     15,460 |
| assimp\assimp\code\res                                                                                                                                                                      |          1 |          8 |          5 |          2 |         15 |
| assimp\assimp\contrib                                                                                                                                                                       |        353 |    113,265 |     32,749 |     23,300 |    169,314 |
| assimp\assimp\contrib\Open3DGC                                                                                                                                                              |         29 |      6,949 |        909 |        558 |      8,416 |
| assimp\assimp\contrib\android-cmake                                                                                                                                                         |          2 |        339 |          0 |        113 |        452 |
| assimp\assimp\contrib\clipper                                                                                                                                                               |          2 |      3,033 |        409 |        323 |      3,765 |
| assimp\assimp\contrib\gtest                                                                                                                                                                 |        157 |     51,810 |     16,209 |     12,340 |     80,359 |
| assimp\assimp\contrib\gtest\codegear                                                                                                                                                        |          2 |          3 |         73 |          4 |         80 |
| assimp\assimp\contrib\gtest\docs                                                                                                                                                            |         28 |     12,360 |          0 |      3,692 |     16,052 |
| assimp\assimp\contrib\gtest\include                                                                                                                                                         |         24 |     14,157 |      5,202 |      2,172 |     21,531 |
| assimp\assimp\contrib\gtest\include\gtest                                                                                                                                                   |         24 |     14,157 |      5,202 |      2,172 |     21,531 |
| assimp\assimp\contrib\gtest\include\gtest\internal                                                                                                                                          |         14 |     11,122 |      2,648 |      1,444 |     15,214 |
| assimp\assimp\contrib\gtest\include\gtest\internal\custom                                                                                                                                   |          3 |          9 |        137 |          9 |        155 |
| assimp\assimp\contrib\gtest\samples                                                                                                                                                         |         18 |        771 |      1,058 |        323 |      2,152 |
| assimp\assimp\contrib\gtest\scripts                                                                                                                                                         |          7 |      2,006 |      1,054 |        491 |      3,551 |
| assimp\assimp\contrib\gtest\src                                                                                                                                                             |         10 |      5,967 |      2,982 |      1,307 |     10,256 |
| assimp\assimp\contrib\gtest\test                                                                                                                                                            |         61 |     16,230 |      5,578 |      4,225 |     26,033 |
| assimp\assimp\contrib\gtest\xcode                                                                                                                                                           |          6 |        118 |        262 |         43 |        423 |
| assimp\assimp\contrib\gtest\xcode\Samples                                                                                                                                                   |          4 |         70 |        156 |         30 |        256 |
| assimp\assimp\contrib\gtest\xcode\Samples\FrameworkSample                                                                                                                                   |          4 |         70 |        156 |         30 |        256 |
| assimp\assimp\contrib\gtest\xcode\Scripts                                                                                                                                                   |          2 |         48 |        106 |         13 |        167 |
| assimp\assimp\contrib\irrXML                                                                                                                                                                |          8 |      1,482 |        788 |        649 |      2,919 |
| assimp\assimp\contrib\openddlparser                                                                                                                                                         |         14 |      2,616 |        631 |        604 |      3,851 |
| assimp\assimp\contrib\openddlparser\code                                                                                                                                                    |          6 |      1,878 |        171 |        336 |      2,385 |
| assimp\assimp\contrib\openddlparser\include                                                                                                                                                 |          7 |        632 |        460 |        237 |      1,329 |
| assimp\assimp\contrib\openddlparser\include\openddlparser                                                                                                                                   |          7 |        632 |        460 |        237 |      1,329 |
| assimp\assimp\contrib\poly2tri                                                                                                                                                              |         12 |      1,553 |        794 |        405 |      2,752 |
| assimp\assimp\contrib\poly2tri\poly2tri                                                                                                                                                     |         12 |      1,553 |        794 |        405 |      2,752 |
| assimp\assimp\contrib\poly2tri\poly2tri\common                                                                                                                                              |          3 |        532 |        187 |        101 |        820 |
| assimp\assimp\contrib\poly2tri\poly2tri\sweep                                                                                                                                               |          8 |      1,016 |        577 |        301 |      1,894 |
| assimp\assimp\contrib\rapidjson                                                                                                                                                             |         36 |     10,394 |      3,243 |      2,271 |     15,908 |
| assimp\assimp\contrib\rapidjson\include                                                                                                                                                     |         35 |     10,280 |      3,243 |      2,224 |     15,747 |
| assimp\assimp\contrib\rapidjson\include\rapidjson                                                                                                                                           |         35 |     10,280 |      3,243 |      2,224 |     15,747 |
| assimp\assimp\contrib\rapidjson\include\rapidjson\error                                                                                                                                     |          2 |         98 |         91 |         48 |        237 |
| assimp\assimp\contrib\rapidjson\include\rapidjson\internal                                                                                                                                  |         12 |      2,064 |        293 |        415 |      2,772 |
| assimp\assimp\contrib\rapidjson\include\rapidjson\msinttypes                                                                                                                                |          2 |        405 |        115 |         98 |        618 |
| assimp\assimp\contrib\stb_image                                                                                                                                                             |          1 |      5,470 |      1,176 |        816 |      7,462 |
| assimp\assimp\contrib\unzip                                                                                                                                                                 |          5 |      1,517 |        463 |        393 |      2,373 |
| assimp\assimp\contrib\utf8cpp                                                                                                                                                               |          5 |      2,385 |        158 |        169 |      2,712 |
| assimp\assimp\contrib\utf8cpp\doc                                                                                                                                                           |          1 |      1,720 |         27 |         43 |      1,790 |
| assimp\assimp\contrib\utf8cpp\source                                                                                                                                                        |          4 |        665 |        131 |        126 |        922 |
| assimp\assimp\contrib\utf8cpp\source\utf8                                                                                                                                                   |          3 |        660 |        107 |        120 |        887 |
| assimp\assimp\contrib\zip                                                                                                                                                                   |          9 |      6,921 |      1,159 |      1,108 |      9,188 |
| assimp\assimp\contrib\zip\src                                                                                                                                                               |          3 |      6,109 |      1,135 |        910 |      8,154 |
| assimp\assimp\contrib\zip\test                                                                                                                                                              |          2 |        482 |         15 |        127 |        624 |
| assimp\assimp\contrib\zlib                                                                                                                                                                  |         73 |     18,796 |      6,810 |      3,551 |     29,157 |
| assimp\assimp\contrib\zlib\contrib                                                                                                                                                          |         48 |     10,713 |      3,168 |      2,322 |     16,203 |
| assimp\assimp\contrib\zlib\contrib\blast                                                                                                                                                    |          2 |        269 |        233 |         49 |        551 |
| assimp\assimp\contrib\zlib\contrib\dotzlib                                                                                                                                                  |         10 |      1,019 |        506 |        241 |      1,766 |
| assimp\assimp\contrib\zlib\contrib\dotzlib\DotZLib                                                                                                                                          |         10 |      1,019 |        506 |        241 |      1,766 |
| assimp\assimp\contrib\zlib\contrib\infback9                                                                                                                                                 |          6 |        820 |        284 |         93 |      1,197 |
| assimp\assimp\contrib\zlib\contrib\inflate86                                                                                                                                                |          1 |        898 |         76 |        184 |      1,158 |
| assimp\assimp\contrib\zlib\contrib\iostream                                                                                                                                                 |          3 |        314 |         12 |        158 |        484 |
| assimp\assimp\contrib\zlib\contrib\iostream2                                                                                                                                                |          2 |        195 |         94 |         45 |        334 |
| assimp\assimp\contrib\zlib\contrib\iostream3                                                                                                                                                |          3 |        492 |        394 |        112 |        998 |
| assimp\assimp\contrib\zlib\contrib\masmx64                                                                                                                                                  |          2 |         92 |         77 |         21 |        190 |
| assimp\assimp\contrib\zlib\contrib\masmx86                                                                                                                                                  |          1 |          2 |          0 |          1 |          3 |
| assimp\assimp\contrib\zlib\contrib\minizip                                                                                                                                                  |         13 |      5,382 |        944 |      1,202 |      7,528 |
| assimp\assimp\contrib\zlib\contrib\puff                                                                                                                                                     |          3 |        481 |        488 |         74 |      1,043 |
| assimp\assimp\contrib\zlib\contrib\testzlib                                                                                                                                                 |          1 |        231 |          3 |         42 |        276 |
| assimp\assimp\contrib\zlib\contrib\untgz                                                                                                                                                    |          1 |        518 |         57 |        100 |        675 |
| assimp\assimp\doc                                                                                                                                                                           |          9 |      3,061 |      2,189 |         59 |      5,309 |
| assimp\assimp\doc\AssimpDoc_Html                                                                                                                                                            |          1 |        643 |          1 |          2 |        646 |
| assimp\assimp\doc\architecture                                                                                                                                                              |          5 |      2,318 |          0 |          3 |      2,321 |
| assimp\assimp\include                                                                                                                                                                       |         86 |      9,536 |     10,569 |      2,961 |     23,066 |
| assimp\assimp\include\assimp                                                                                                                                                                |         86 |      9,536 |     10,569 |      2,961 |     23,066 |
| assimp\assimp\include\assimp\Compiler                                                                                                                                                       |          3 |        624 |        287 |         69 |        980 |
| assimp\assimp\include\assimp\port                                                                                                                                                           |          1 |         23 |         54 |         16 |         93 |
| assimp\assimp\include\assimp\port\AndroidJNI                                                                                                                                                |          1 |         23 |         54 |         16 |         93 |
| assimp\assimp\packaging                                                                                                                                                                     |          2 |        151 |          0 |         47 |        198 |
| assimp\assimp\packaging\windows-mkzip                                                                                                                                                       |          2 |        151 |          0 |         47 |        198 |
| assimp\assimp\port                                                                                                                                                                          |        101 |      8,120 |      9,500 |      3,294 |     20,914 |
| assimp\assimp\port\AndroidJNI                                                                                                                                                               |          2 |        134 |         65 |         37 |        236 |
| assimp\assimp\port\AssimpNET                                                                                                                                                                |          1 |          1 |          0 |          1 |          2 |
| assimp\assimp\port\AssimpPascal                                                                                                                                                             |          1 |          1 |          0 |          1 |          2 |
| assimp\assimp\port\PyAssimp                                                                                                                                                                 |         19 |      3,592 |      3,127 |      1,302 |      8,021 |
| assimp\assimp\port\PyAssimp\gen                                                                                                                                                             |          2 |        185 |        143 |         60 |        388 |
| assimp\assimp\port\PyAssimp\pyassimp                                                                                                                                                        |          8 |      1,005 |      1,221 |        415 |      2,641 |
| assimp\assimp\port\PyAssimp\scripts                                                                                                                                                         |          7 |      2,319 |      1,761 |        793 |      4,873 |
| assimp\assimp\port\iOS                                                                                                                                                                      |          2 |        184 |         17 |         45 |        246 |
| assimp\assimp\port\jassimp                                                                                                                                                                  |         46 |      3,910 |      6,270 |      1,798 |     11,978 |
| assimp\assimp\port\jassimp\jassimp                                                                                                                                                          |         42 |      2,296 |      6,204 |      1,365 |      9,865 |
| assimp\assimp\port\jassimp\jassimp-native                                                                                                                                                   |          3 |      1,568 |         66 |        424 |      2,058 |
| assimp\assimp\port\jassimp\jassimp-native\src                                                                                                                                               |          2 |      1,560 |         65 |        419 |      2,044 |
| assimp\assimp\port\jassimp\jassimp\src                                                                                                                                                      |         42 |      2,296 |      6,204 |      1,365 |      9,865 |
| assimp\assimp\port\jassimp\jassimp\src\jassimp                                                                                                                                              |         42 |      2,296 |      6,204 |      1,365 |      9,865 |
| assimp\assimp\port\swig                                                                                                                                                                     |         30 |        298 |         21 |        110 |        429 |
| assimp\assimp\port\swig\d                                                                                                                                                                   |          2 |          4 |          2 |          2 |          8 |
| assimp\assimp\port\swig\interface                                                                                                                                                           |         27 |        187 |          9 |         84 |        280 |
| assimp\assimp\samples                                                                                                                                                                       |         20 |      7,093 |        581 |        816 |      8,490 |
| assimp\assimp\samples\SharedCode                                                                                                                                                            |          2 |         49 |         85 |         12 |        146 |
| assimp\assimp\samples\SimpleAssimpViewX                                                                                                                                                     |          7 |      4,786 |        163 |        259 |      5,208 |
| assimp\assimp\samples\SimpleAssimpViewX\English.lproj                                                                                                                                       |          2 |      4,122 |          0 |          2 |      4,124 |
| assimp\assimp\samples\SimpleOpenGL                                                                                                                                                          |          1 |        307 |         59 |         83 |        449 |
| assimp\assimp\samples\SimpleTexturedDirectx11                                                                                                                                               |          9 |      1,298 |        179 |        300 |      1,777 |
| assimp\assimp\samples\SimpleTexturedDirectx11\SimpleTexturedDirectx11                                                                                                                       |          9 |      1,298 |        179 |        300 |      1,777 |
| assimp\assimp\samples\SimpleTexturedOpenGL                                                                                                                                                  |          1 |        653 |         95 |        162 |        910 |
| assimp\assimp\samples\SimpleTexturedOpenGL\SimpleTexturedOpenGL                                                                                                                             |          1 |        653 |         95 |        162 |        910 |
| assimp\assimp\samples\SimpleTexturedOpenGL\SimpleTexturedOpenGL\src                                                                                                                         |          1 |        653 |         95 |        162 |        910 |
| assimp\assimp\scripts                                                                                                                                                                       |          7 |        439 |        285 |        141 |        865 |
